39.989037,116.421608,39.984998,116.419276,39.981719,116.421965,39.982478,116.426986,39.986516,116.429318,39.989796,116.426629
39.981719,116.421965,39.977680,116.419633,39.974401,116.422322,39.975160,116.427342,39.979198,116.429674,39.982478,116.426986
39.974401,116.422322,39.970363,116.419991,39.967084,116.422679,39.967843,116.427699,39.971881,116.430030,39.975160,116.427342
39.967084,116.422679,39.963046,116.420348,39.959768,116.423036,39.960527,116.428055,39.964565,116.430386,39.967843,116.427699
39.964565,116.430386,39.960527,116.428055,39.957249,116.430742,39.958008,116.435760,39.962045,116.438091,39.965324,116.435405
39.962045,116.438091,39.958008,116.435760,39.954730,116.438446,39.955489,116.443463,39.959526,116.445795,39.962804,116.443109
39.959526,116.445795,39.955489,116.443463,39.952211,116.446149,39.952970,116.451165,39.957006,116.453497,39.960284,116.450812
39.957006,116.453497,39.952970,116.451165,39.949692,116.453849,39.950450,116.458865,39.954486,116.461197,39.957764,116.458513
39.954486,116.461197,39.950450,116.458865,39.947172,116.461548,39.947930,116.466563,39.951966,116.468896,39.955244,116.466213
39.951966,116.468896,39.947930,116.466563,39.944653,116.469246,39.945410,116.474260,39.949445,116.476592,39.952723,116.473911
39.956758,116.476243,39.952723,116.473911,39.949445,116.476592,39.950203,116.481607,39.954237,116.483940,39.957515,116.481258
39.961550,116.483592,39.957515,116.481258,39.954237,116.483940,39.954994,116.488954,39.959028,116.491288,39.962306,116.488607
39.966341,116.490941,39.962306,116.488607,39.959028,116.491288,39.959784,116.496302,39.963818,116.498636,39.967097,116.495956
39.971131,116.498290,39.967097,116.495956,39.963818,116.498636,39.964574,116.503650,39.968608,116.505985,39.971886,116.503305
39.975920,116.505640,39.971886,116.503305,39.968608,116.505985,39.969363,116.510999,39.973396,116.513334,39.976675,116.510655
39.980709,116.512991,39.976675,116.510655,39.973396,116.513334,39.974151,116.518349,39.978184,116.520684,39.981463,116.518006
39.988022,116.512647,39.983988,116.510311,39.980709,116.512991,39.981463,116.518006,39.985497,116.520342,39.988776,116.517663
39.995336,116.512303,39.991302,116.509967,39.988022,116.512647,39.988776,116.517663,39.992810,116.519999,39.996090,116.517319
40.002650,116.511959,39.998616,116.509622,39.995336,116.512303,39.996090,116.517319,40.000124,116.519656,40.003404,116.516976
40.009965,116.511615,40.005931,116.509278,40.002650,116.511959,40.003404,116.516976,40.007438,116.519313,40.010718,116.516633
40.017280,116.511271,40.013246,116.508934,40.009965,116.511615,40.010718,116.516633,40.014753,116.518970,40.018034,116.516289
40.024596,116.510926,40.020562,116.508589,40.017280,116.511271,40.018034,116.516289,40.022068,116.518627,40.025349,116.515946
40.027125,116.503224,40.023089,116.500887,40.019808,116.503570,40.020562,116.508589,40.024596,116.510926,40.027878,116.508244
40.029653,116.495520,40.025617,116.493183,40.022336,116.495867,40.023089,116.500887,40.027125,116.503224,40.030406,116.500541
40.032181,116.487814,40.028145,116.485478,40.024863,116.488162,40.025617,116.493183,40.029653,116.495520,40.032935,116.492836
40.034708,116.480107,40.030672,116.477770,40.027390,116.480456,40.028145,116.485478,40.032181,116.487814,40.035463,116.485129
40.037236,116.472398,40.033199,116.470062,40.029917,116.472748,40.030672,116.477770,40.034708,116.480107,40.037991,116.477421
40.039764,116.464687,40.035726,116.462351,40.032444,116.465039,40.033199,116.470062,40.037236,116.472398,40.040519,116.469711
40.042291,116.456975,40.038253,116.454639,40.034971,116.457327,40.035726,116.462351,40.039764,116.464687,40.043046,116.461999
40.037498,116.449614,40.033459,116.447279,40.030177,116.449968,40.030933,116.454992,40.034971,116.457327,40.038253,116.454639
40.032703,116.442254,40.028665,116.439919,40.025383,116.442609,40.026139,116.447633,40.030177,116.449968,40.033459,116.447279
40.027908,116.434895,40.023869,116.432560,40.020588,116.435250,40.021345,116.440274,40.025383,116.442609,40.028665,116.439919
40.023112,116.427536,40.019073,116.425202,40.015792,116.427893,40.016549,116.432916,40.020588,116.435250,40.023869,116.432560
40.018315,116.420177,40.014276,116.417844,40.010995,116.420535,40.011753,116.425559,40.015792,116.427893,40.019073,116.425202
40.013518,116.412820,40.009478,116.410487,40.006197,116.413178,40.006956,116.418202,40.010995,116.420535,40.014276,116.417844
40.006197,116.413178,40.002158,116.410846,39.998877,116.413537,39.999636,116.418560,40.003675,116.420893,40.006956,116.418202
39.998877,116.413537,39.994838,116.411205,39.991558,116.413896,39.992317,116.418918,39.996356,116.421250,39.999636,116.418560
39.991558,116.413896,39.987519,116.411564,39.984239,116.414254,39.984998,116.419276,39.989037,116.421608,39.992317,116.418918
39.984239,116.414254,39.980200,116.411923,39.976921,116.414612,39.977680,116.419633,39.981719,116.421965,39.984998,116.419276
39.976921,116.414612,39.972882,116.412281,39.969604,116.414971,39.970363,116.419991,39.974401,116.422322,39.977680,116.419633
39.969604,116.414971,39.965565,116.412640,39.962286,116.415329,39.963046,116.420348,39.967084,116.422679,39.970363,116.419991
39.962286,116.415329,39.958248,116.412998,39.954970,116.415687,39.955730,116.420706,39.959768,116.423036,39.963046,116.420348
39.959768,116.423036,39.955730,116.420706,39.952452,116.423393,39.953212,116.428411,39.957249,116.430742,39.960527,116.428055
39.957249,116.430742,39.953212,116.428411,39.949934,116.431098,39.950693,116.436115,39.954730,116.438446,39.958008,116.435760
39.954730,116.438446,39.950693,116.436115,39.947415,116.438801,39.948174,116.443817,39.952211,116.446149,39.955489,116.443463
39.952211,116.446149,39.948174,116.443817,39.944897,116.446502,39.945656,116.451518,39.949692,116.453849,39.952970,116.451165
39.949692,116.453849,39.945656,116.451518,39.942378,116.454202,39.943137,116.459216,39.947172,116.461548,39.950450,116.458865
39.947172,116.461548,39.943137,116.459216,39.939859,116.461899,39.940618,116.466914,39.944653,116.469246,39.947930,116.466563
